latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,nivel_risco,is_alerta,is_critico
-25.64561,-57.12451,302.29,1.14,1.06,2026-05-29,45,Terra,MODIS,30,6.1NRT,286.0,6.82,N,BAIXO,False,False
-25.63618,-57.12591,353.01,1.14,1.06,2026-05-29,45,Terra,MODIS,100,6.1NRT,288.1,85.12,N,MÉDIO,True,False
-25.63484,-57.11473,306.56,1.14,1.06,2026-05-29,45,Terra,MODIS,68,6.1NRT,286.04,9.8,N,BAIXO,False,False
-23.8949,-57.26335,302.6,1.11,1.05,2026-05-29,45,Terra,MODIS,44,6.1NRT,284.01,9.13,N,BAIXO,False,False
-22.87721,-57.35208,307.57,1.1,1.05,2026-05-29,45,Terra,MODIS,72,6.1NRT,291.93,8.41,N,BAIXO,False,False
-22.87589,-57.34157,304.64,1.1,1.05,2026-05-29,45,Terra,MODIS,61,6.1NRT,291.93,6.17,N,BAIXO,False,False
-21.81281,-53.08606,302.71,1.15,1.07,2026-05-29,45,Terra,MODIS,51,6.1NRT,290.2,6.97,N,BAIXO,False,False
-21.40227,-48.71759,304.92,2.27,1.46,2026-05-29,45,Terra,MODIS,62,6.1NRT,287.58,26.81,N,BAIXO,False,False
-22.4764,-62.08781,303.85,2.17,1.43,2026-05-29,48,Terra,MODIS,57,6.1NRT,274.4,27.07,N,BAIXO,False,False
-21.30942,-61.03302,311.7,1.75,1.3,2026-05-29,48,Terra,MODIS,68,6.1NRT,292.4,25.23,N,BAIXO,False,False
-21.307,-61.02687,311.3,1.75,1.3,2026-05-29,48,Terra,MODIS,58,6.1NRT,292.32,23.87,N,BAIXO,False,False
-21.2452,-59.58363,303.22,1.39,1.17,2026-05-29,48,Terra,MODIS,54,6.1NRT,291.44,7.96,N,BAIXO,False,False
-20.73437,-54.83632,308.39,1.02,1.01,2026-05-29,48,Terra,MODIS,74,6.1NRT,291.16,8.64,N,BAIXO,False,False
-20.73298,-54.82671,303.53,1.02,1.01,2026-05-29,48,Terra,MODIS,56,6.1NRT,290.83,5.54,N,BAIXO,False,False
-20.53473,-60.42152,307.1,1.54,1.22,2026-05-29,48,Terra,MODIS,70,6.1NRT,291.6,13.92,N,BAIXO,False,False
-20.53313,-60.40707,316.23,1.54,1.22,2026-05-29,48,Terra,MODIS,93,6.1NRT,292.07,26.52,N,BAIXO,False,False
-18.61972,-58.61293,328.23,1.14,1.06,2026-05-29,48,Terra,MODIS,100,6.1NRT,293.76,31.68,N,BAIXO,False,False
-18.61838,-58.60237,303.55,1.14,1.06,2026-05-29,48,Terra,MODIS,56,6.1NRT,293.38,5.36,N,BAIXO,False,False
-18.59682,-58.65926,337.5,1.15,1.07,2026-05-29,48,Terra,MODIS,100,6.1NRT,294.56,46.6,N,BAIXO,False,False
-18.59549,-58.64865,317.52,1.14,1.07,2026-05-29,48,Terra,MODIS,95,6.1NRT,293.7,16.98,N,BAIXO,False,False
-18.58608,-58.64996,307.4,1.14,1.07,2026-05-29,48,Terra,MODIS,71,6.1NRT,292.95,7.96,N,BAIXO,False,False
-18.58476,-58.63938,315.69,1.14,1.07,2026-05-29,48,Terra,MODIS,92,6.1NRT,293.27,15.64,N,BAIXO,False,False
-18.58344,-58.62881,311.94,1.14,1.06,2026-05-29,48,Terra,MODIS,84,6.1NRT,293.14,11.68,N,BAIXO,False,False
-18.56878,-58.58784,311.85,1.14,1.06,2026-05-29,48,Terra,MODIS,83,6.1NRT,294.33,11.22,N,BAIXO,False,False
-18.55939,-58.58915,328.96,1.14,1.06,2026-05-29,48,Terra,MODIS,100,6.1NRT,294.15,31.14,N,BAIXO,False,False
-18.55809,-58.57862,304.29,1.13,1.06,2026-05-29,48,Terra,MODIS,23,6.1NRT,293.44,4.77,N,BAIXO,False,False
-18.5558,-58.60626,316.04,1.14,1.06,2026-05-29,48,Terra,MODIS,92,6.1NRT,293.48,15.16,N,BAIXO,False,False
-18.55444,-58.59571,330.46,1.14,1.06,2026-05-29,48,Terra,MODIS,100,6.1NRT,294.56,33.55,N,BAIXO,False,False
-18.53567,-58.59832,327.09,1.14,1.06,2026-05-29,48,Terra,MODIS,100,6.1NRT,293.8,28.67,N,BAIXO,False,False
-18.53433,-58.5878,321.54,1.13,1.06,2026-05-29,48,Terra,MODIS,100,6.1NRT,294.17,21.61,N,BAIXO,False,False
-18.52495,-58.58911,327.71,1.13,1.06,2026-05-29,48,Terra,MODIS,100,6.1NRT,293.82,29.97,N,BAIXO,False,False
-18.52361,-58.5786,326.2,1.13,1.06,2026-05-29,48,Terra,MODIS,100,6.1NRT,293.89,27.83,N,BAIXO,False,False
-18.46657,-54.71802,308.04,1.07,1.03,2026-05-29,48,Terra,MODIS,73,6.1NRT,292.49,8.94,N,BAIXO,False,False
-18.46513,-54.70813,328.53,1.07,1.03,2026-05-29,48,Terra,MODIS,100,6.1NRT,292.61,29.9,N,BAIXO,False,False
-18.2361,-54.59556,302.42,1.08,1.04,2026-05-29,48,Terra,MODIS,49,6.1NRT,290.81,5.97,N,BAIXO,False,False
-18.14875,-62.71188,308.29,2.11,1.41,2026-05-29,48,Terra,MODIS,74,6.1NRT,289.4,27.39,N,BAIXO,False,False
-18.14671,-62.6925,321.12,2.1,1.41,2026-05-29,48,Terra,MODIS,100,6.1NRT,289.26,60.19,N,MÉDIO,True,False
-18.09871,-59.58441,306.64,1.27,1.12,2026-05-29,48,Terra,MODIS,69,6.1NRT,291.82,9.89,N,BAIXO,False,False
-18.09027,-59.59747,310.49,1.27,1.12,2026-05-29,48,Terra,MODIS,69,6.1NRT,291.64,12.55,N,BAIXO,False,False
-17.5616,-61.61189,309.33,1.71,1.28,2026-05-29,48,Terra,MODIS,77,6.1NRT,291.23,20.26,N,BAIXO,False,False
-17.55985,-61.5962,311.36,1.7,1.28,2026-05-29,48,Terra,MODIS,82,6.1NRT,291.77,22.88,N,BAIXO,False,False
-17.51108,-59.52422,316.77,1.24,1.11,2026-05-29,48,Terra,MODIS,94,6.1NRT,293.55,18.38,N,BAIXO,False,False
-17.50968,-59.51284,327.23,1.24,1.1,2026-05-29,48,Terra,MODIS,100,6.1NRT,294.29,32.92,N,BAIXO,False,False
-17.50131,-59.52553,311.76,1.24,1.11,2026-05-29,48,Terra,MODIS,75,6.1NRT,292.95,12.05,N,BAIXO,False,False
-17.49993,-59.51422,332.13,1.24,1.1,2026-05-29,48,Terra,MODIS,100,6.1NRT,294.12,40.63,N,BAIXO,False,False
-17.49855,-59.50285,368.62,1.23,1.1,2026-05-29,48,Terra,MODIS,100,6.1NRT,297.54,149.42,N,ALTO,True,False
-17.49717,-59.49161,340.05,1.23,1.1,2026-05-29,48,Terra,MODIS,100,6.1NRT,295.04,56.79,N,MÉDIO,True,False
-17.49018,-59.51559,305.93,1.24,1.1,2026-05-29,48,Terra,MODIS,41,6.1NRT,293.02,6.53,N,BAIXO,False,False
-17.4888,-59.50421,344.48,1.23,1.1,2026-05-29,48,Terra,MODIS,100,6.1NRT,295.09,67.36,N,MÉDIO,True,False
-17.48742,-59.49284,354.94,1.23,1.1,2026-05-29,48,Terra,MODIS,100,6.1NRT,295.67,97.57,N,MÉDIO,True,False
-17.48604,-59.48151,304.49,1.23,1.1,2026-05-29,48,Terra,MODIS,60,6.1NRT,293.22,6.16,N,BAIXO,False,False
-17.48455,-59.55109,306.65,1.24,1.11,2026-05-29,48,Terra,MODIS,66,6.1NRT,292.41,8.55,N,BAIXO,False,False
-16.70986,-59.64261,317.32,1.23,1.1,2026-05-29,48,Terra,MODIS,95,6.1NRT,293.97,18.93,N,BAIXO,False,False
-16.70012,-59.64389,306.5,1.23,1.1,2026-05-29,48,Terra,MODIS,48,6.1NRT,293.72,7.44,N,BAIXO,False,False
-16.69874,-59.63271,312.57,1.23,1.1,2026-05-29,48,Terra,MODIS,85,6.1NRT,293.72,12.92,N,BAIXO,False,False
-16.66165,-61.067,301.89,1.51,1.21,2026-05-29,48,Terra,MODIS,45,6.1NRT,291.37,8.5,N,BAIXO,False,False
-16.65934,-59.65519,315.4,1.23,1.1,2026-05-29,48,Terra,MODIS,61,6.1NRT,293.91,14.94,N,BAIXO,False,False
-16.64537,-59.62289,328.29,1.22,1.1,2026-05-29,48,Terra,MODIS,100,6.1NRT,294.76,31.29,N,BAIXO,False,False
-16.64429,-60.78781,302.5,1.45,1.19,2026-05-29,48,Terra,MODIS,49,6.1NRT,291.43,8.27,N,BAIXO,False,False
-16.64396,-59.61174,344.13,1.22,1.1,2026-05-29,48,Terra,MODIS,100,6.1NRT,295.24,64.32,N,MÉDIO,True,False
-16.62875,-59.64804,310.35,1.23,1.1,2026-05-29,48,Terra,MODIS,18,6.1NRT,293.67,10.09,N,BAIXO,False,False
-16.60892,-60.98977,305.82,1.49,1.21,2026-05-29,48,Terra,MODIS,66,6.1NRT,291.68,12.77,N,BAIXO,False,False
-16.57222,-60.68312,301.44,1.42,1.18,2026-05-29,48,Terra,MODIS,41,6.1NRT,291.28,7.58,N,BAIXO,False,False
-16.56958,-59.33135,304.38,1.18,1.08,2026-05-29,48,Terra,MODIS,23,6.1NRT,293.3,5.67,N,BAIXO,False,False
-16.54514,-59.29087,306.36,1.17,1.08,2026-05-29,48,Terra,MODIS,68,6.1NRT,293.52,7.14,N,BAIXO,False,False
-16.52085,-59.28968,306.6,1.17,1.08,2026-05-29,48,Terra,MODIS,69,6.1NRT,293.38,7.59,N,BAIXO,False,False
-16.51948,-59.27895,324.33,1.17,1.08,2026-05-29,48,Terra,MODIS,100,6.1NRT,293.95,26.65,N,BAIXO,False,False
-16.4991,-59.34729,307.28,1.18,1.08,2026-05-29,48,Terra,MODIS,61,6.1NRT,293.53,7.62,N,BAIXO,False,False
-16.48279,-59.29486,306.91,1.17,1.08,2026-05-29,48,Terra,MODIS,52,6.1NRT,293.49,7.22,N,BAIXO,False,False
-16.47181,-59.36198,309.51,1.18,1.08,2026-05-29,48,Terra,MODIS,78,6.1NRT,293.34,10.35,N,BAIXO,False,False
-16.47047,-59.35122,305.02,1.18,1.08,2026-05-29,48,Terra,MODIS,59,6.1NRT,293.34,6.18,N,BAIXO,False,False
-16.46644,-59.31894,313.09,1.17,1.08,2026-05-29,48,Terra,MODIS,86,6.1NRT,293.73,12.53,N,BAIXO,False,False
-16.46376,-59.29747,319.54,1.17,1.08,2026-05-29,48,Terra,MODIS,99,6.1NRT,293.99,19.83,N,BAIXO,False,False
-16.17566,-58.47644,332.87,1.07,1.03,2026-05-29,48,Terra,MODIS,100,6.1NRT,272.71,0.0,N,BAIXO,False,False
-16.17153,-61.16065,310.11,1.51,1.21,2026-05-29,48,Terra,MODIS,53,6.1NRT,292.26,16.5,N,BAIXO,False,False
-16.16082,-61.16209,324.41,1.51,1.21,2026-05-29,48,Terra,MODIS,100,6.1NRT,292.83,40.29,N,BAIXO,False,False
-16.15917,-61.14822,310.0,1.51,1.21,2026-05-29,48,Terra,MODIS,76,6.1NRT,292.65,16.46,N,BAIXO,False,False
-16.1501,-61.16352,302.78,1.51,1.21,2026-05-29,48,Terra,MODIS,15,6.1NRT,291.72,8.35,N,BAIXO,False,False
-16.14847,-61.14964,303.97,1.51,1.21,2026-05-29,48,Terra,MODIS,28,6.1NRT,291.59,9.44,N,BAIXO,False,False
-15.90489,-50.55248,300.21,2.13,1.42,2026-05-29,48,Terra,MODIS,21,6.1NRT,285.61,13.01,N,BAIXO,False,False
-15.89056,-61.38515,303.13,1.56,1.23,2026-05-29,48,Terra,MODIS,53,6.1NRT,292.35,9.6,N,BAIXO,False,False
-15.82653,-58.62018,305.68,1.08,1.04,2026-05-29,48,Terra,MODIS,65,6.1NRT,288.56,7.48,N,BAIXO,False,False
-15.80534,-61.93435,304.73,1.7,1.28,2026-05-29,48,Terra,MODIS,61,6.1NRT,292.21,13.32,N,BAIXO,False,False
-15.79976,-58.6198,301.12,1.08,1.04,2026-05-29,48,Terra,MODIS,37,6.1NRT,285.17,5.3,N,BAIXO,False,False
-15.78664,-58.66177,309.79,1.08,1.04,2026-05-29,48,Terra,MODIS,78,6.1NRT,279.84,12.2,N,BAIXO,False,False
-15.61128,-60.98272,312.8,1.45,1.19,2026-05-29,48,Terra,MODIS,86,6.1NRT,292.96,19.03,N,BAIXO,False,False
-15.60969,-60.96968,304.66,1.44,1.19,2026-05-29,48,Terra,MODIS,61,6.1NRT,292.71,9.49,N,BAIXO,False,False
-15.17464,-54.8491,302.44,1.13,1.06,2026-05-29,48,Terra,MODIS,49,6.1NRT,289.93,6.77,N,BAIXO,False,False
-14.64606,-54.52276,306.43,1.19,1.09,2026-05-29,48,Terra,MODIS,68,6.1NRT,292.19,9.0,N,BAIXO,False,False
-14.44537,-48.90088,307.61,3.06,1.66,2026-05-29,48,Terra,MODIS,72,6.1NRT,290.93,43.62,N,BAIXO,False,False
-13.70465,-66.26242,302.55,3.47,1.75,2026-05-29,50,Terra,MODIS,10,6.1NRT,288.33,37.63,N,BAIXO,False,False
-13.63738,-55.76083,303.35,1.07,1.03,2026-05-29,50,Terra,MODIS,41,6.1NRT,284.32,7.44,N,BAIXO,False,False
-13.63599,-55.75116,304.26,1.07,1.03,2026-05-29,50,Terra,MODIS,59,6.1NRT,287.35,7.57,N,BAIXO,False,False
-13.18162,-52.71227,318.65,1.65,1.26,2026-05-29,50,Terra,MODIS,97,6.1NRT,287.05,35.98,N,BAIXO,False,False
-12.99048,-57.78523,309.31,1.0,1.0,2026-05-29,50,Terra,MODIS,68,6.1NRT,282.68,11.18,N,BAIXO,False,False
-12.98925,-57.77623,301.16,1.0,1.0,2026-05-29,50,Terra,MODIS,18,6.1NRT,284.58,5.8,N,BAIXO,False,False
-12.72097,-54.19338,304.32,1.32,1.14,2026-05-29,50,Terra,MODIS,59,6.1NRT,285.81,10.59,N,BAIXO,False,False
-12.68767,-54.58302,301.56,1.25,1.11,2026-05-29,50,Terra,MODIS,15,6.1NRT,291.21,7.34,N,BAIXO,False,False
-11.79239,-52.51559,306.64,1.8,1.32,2026-05-29,50,Terra,MODIS,46,6.1NRT,292.23,15.01,N,BAIXO,False,False
-11.79143,-52.52675,301.83,1.8,1.31,2026-05-29,50,Terra,MODIS,21,6.1NRT,291.75,8.91,N,BAIXO,False,False
-11.78883,-52.51064,307.36,1.8,1.32,2026-05-29,50,Terra,MODIS,71,6.1NRT,292.21,16.78,N,BAIXO,False,False
-11.78085,-52.51756,312.09,1.8,1.32,2026-05-29,50,Terra,MODIS,83,6.1NRT,292.09,23.91,N,BAIXO,False,False
-11.77729,-52.5126,304.63,1.8,1.32,2026-05-29,50,Terra,MODIS,26,6.1NRT,291.86,12.07,N,BAIXO,False,False
-11.60154,-47.47554,306.36,4.5,1.95,2026-05-29,50,Terra,MODIS,68,6.1NRT,292.17,65.17,N,MÉDIO,True,False
-11.59407,-47.43408,314.56,4.54,1.96,2026-05-29,50,Terra,MODIS,89,6.1NRT,291.93,116.87,N,ALTO,True,False
-11.59214,-47.4426,319.22,4.54,1.96,2026-05-29,50,Terra,MODIS,98,6.1NRT,292.13,153.76,N,ALTO,True,False
-11.5613,-54.59032,302.63,1.3,1.13,2026-05-29,50,Terra,MODIS,50,6.1NRT,287.87,8.35,N,BAIXO,False,False
-11.55955,-54.57881,316.15,1.3,1.13,2026-05-29,50,Terra,MODIS,93,6.1NRT,289.6,22.45,N,BAIXO,False,False
-11.44573,-55.11258,302.39,1.21,1.09,2026-05-29,50,Terra,MODIS,44,6.1NRT,290.24,6.27,N,BAIXO,False,False
-11.30238,-54.03658,306.84,1.42,1.18,2026-05-29,50,Terra,MODIS,69,6.1NRT,292.21,12.38,N,BAIXO,False,False
-10.13537,-52.39742,304.73,1.97,1.37,2026-05-29,50,Terra,MODIS,61,6.1NRT,292.32,15.25,N,BAIXO,False,False
-7.90799,-61.51383,304.39,1.24,1.11,2026-05-29,50,Terra,MODIS,56,6.1NRT,293.2,6.18,N,BAIXO,False,False
-7.33842,-49.87112,301.87,3.53,1.77,2026-05-29,50,Terra,MODIS,45,6.1NRT,290.66,23.73,N,BAIXO,False,False
-6.57772,-51.11929,303.49,2.9,1.62,2026-05-29,50,Terra,MODIS,55,6.1NRT,290.31,25.29,N,BAIXO,False,False
-6.57349,-51.09314,304.47,2.91,1.63,2026-05-29,50,Terra,MODIS,60,6.1NRT,286.54,27.67,N,BAIXO,False,False
-6.57084,-51.10007,308.31,2.91,1.63,2026-05-29,50,Terra,MODIS,74,6.1NRT,288.98,39.59,N,BAIXO,False,False
-7.00361,-45.00388,308.18,1.13,1.06,2026-05-29,612,Aqua,MODIS,74,6.1NRT,292.42,9.74,N,BAIXO,False,False
-6.99607,-42.88583,302.36,1.0,1.0,2026-05-29,612,Aqua,MODIS,14,6.1NRT,291.79,4.01,N,BAIXO,False,False
-6.98864,-42.87576,325.45,1.0,1.0,2026-05-29,612,Aqua,MODIS,100,6.1NRT,293.23,23.1,N,BAIXO,False,False
-6.98731,-42.88452,309.95,1.0,1.0,2026-05-29,612,Aqua,MODIS,79,6.1NRT,292.78,8.87,N,BAIXO,False,False
-6.57226,-51.08718,304.7,3.21,1.7,2026-05-29,612,Aqua,MODIS,61,6.1NRT,289.44,35.86,N,BAIXO,False,False
-6.56968,-51.10652,302.92,3.23,1.7,2026-05-29,612,Aqua,MODIS,49,6.1NRT,287.57,28.24,N,BAIXO,False,False
-6.39417,-44.1665,321.13,1.06,1.03,2026-05-29,612,Aqua,MODIS,100,6.1NRT,292.02,20.6,N,BAIXO,False,False
-6.08642,-44.00104,309.74,1.05,1.02,2026-05-29,612,Aqua,MODIS,78,6.1NRT,292.29,9.54,N,BAIXO,False,False
-5.95276,-43.48787,305.94,1.02,1.01,2026-05-29,612,Aqua,MODIS,27,6.1NRT,289.3,7.0,N,BAIXO,False,False
-5.94391,-43.48657,308.98,1.02,1.01,2026-05-29,612,Aqua,MODIS,45,6.1NRT,289.81,9.36,N,BAIXO,False,False
-5.3244,-44.68936,324.56,1.14,1.06,2026-05-29,612,Aqua,MODIS,100,6.1NRT,291.38,28.25,N,BAIXO,False,False
-11.60011,-47.42934,303.24,1.35,1.15,2026-05-29,614,Aqua,MODIS,29,6.1NRT,289.84,8.09,N,BAIXO,False,False
-11.59811,-47.44138,331.75,1.36,1.15,2026-05-29,614,Aqua,MODIS,100,6.1NRT,291.12,48.55,N,BAIXO,False,False
-11.59064,-47.43333,327.71,1.36,1.15,2026-05-29,614,Aqua,MODIS,100,6.1NRT,291.66,40.14,N,BAIXO,False,False
-11.58872,-47.44531,340.73,1.36,1.15,2026-05-29,614,Aqua,MODIS,100,6.1NRT,292.85,69.41,N,MÉDIO,True,False
-11.58802,-47.43968,332.23,1.36,1.15,2026-05-29,614,Aqua,MODIS,100,6.1NRT,292.72,49.79,N,BAIXO,False,False
-11.58603,-47.4516,309.1,1.36,1.15,2026-05-29,614,Aqua,MODIS,72,6.1NRT,291.39,13.45,N,BAIXO,False,False
-10.97772,-45.09523,301.44,1.05,1.02,2026-05-29,614,Aqua,MODIS,41,6.1NRT,286.92,7.01,N,BAIXO,False,False
-8.67955,-48.30394,300.99,1.76,1.3,2026-05-29,614,Aqua,MODIS,36,6.1NRT,290.55,10.34,N,BAIXO,False,False
-24.54637,-42.46532,311.98,1.48,1.2,2026-05-29,616,Aqua,MODIS,77,6.1NRT,294.15,17.37,N,BAIXO,False,False
-17.49594,-59.46979,301.65,4.41,1.93,2026-05-29,754,Aqua,MODIS,43,6.1NRT,287.92,46.71,N,BAIXO,False,False
-17.49216,-59.51011,304.74,4.38,1.93,2026-05-29,754,Aqua,MODIS,61,6.1NRT,288.89,59.78,N,MÉDIO,True,False
-17.49168,-59.46568,302.91,4.41,1.93,2026-05-29,754,Aqua,MODIS,52,6.1NRT,288.1,53.58,N,MÉDIO,False,False
